dept,date,interest,reviewText,helpcount,nothelpcount
Religion,02/06/2010,Sorta interested,DO NOT TAKE THE ONLINE CLASS its horrible and frustrating  He makes you search for random vague answers in piles of information  Its totally IMPOSSIBLE to do everything for the class he wants you to do Plus its BORING horrible,0,0
Mathematics,08/12/2013,Meh,I took his College Algebra class online through the independent study It was so hard The homework was impossible I ultimately dropped the class It is a waste of money and time Dont even think of taking this class Worst class ever,1,0
History,07/08/2011,Meh,I feel like this professor expects more from his students than he does from himself About a map test he said quotYou have to do a better map than me to get 100quot or something highly similar History majors dont even like his class my roomate is one shes going to retake it This class is wickedly hard take the online one,0,0
Health Science,03/02/2009,Really into it,Trivial information with a prof that only talks about herself She talks about her pregnancy more than the class material There are 6 papers in this class which she takes about 5 weeks per paper to grade Going into finals week you will still be waiting for 5 papers to be graded She is useless as an instructor and has no business in the classroom,0,0
Physics,04/21/2008,Sorta interested,its time to retire he is completely lost in his own world and is unable to explain difficult concepts he rambles through lecture so fast its impossible to take notes his tests and quizzes are too difficult he lets you pick your own grading scale but he doesnt tell you that its nearly impossible to get a good grade wo doing everything,0,0
Engineering,05/26/2011,Meh,The WORST prof I ever had He thinks that he is so great and every single student in his class is stupid However being a Electrical Eng professor he has the least idea how to write on a projector or use computers to show slideshe has to ask the TA everything He could NEVER explain things clearly and his writing is so nasty I LEARN NOTHING,0,0
History,01/02/2014,Low,Dr Peck seems like he forgot what it is like to be a student He thinks you should be on a master level like him of understanding what he is teaching He rails against multiple choice tests and posting grades He says with those options students can scam the system I do not think an attitude like that lends itself to being a great teacher,0,0
Mathematics,12/29/2004,Really into it,tons of useless examples doesnt take enough time to useful examples tests very hard,0,0
Religion,12/07/2011,It's my life,I would not recommend him Way too much busy work and I never once felt the spirit in his class I felt like he taught church history in all of the wrong ways and just showed a bunch of pictures from his trips to church history sites,0,0
Music,01/02/2013,Sorta interested,Did not like,0,0
Chemistry,08/03/2005,Sorta interested,AVOID AT ALL COSTS Cannon was the most degrading professor I have ever had  He makes you feel stupid for asking questions but blames your bad grades on not asking questions  However he knows his chemistry  After taking his class any other chem class feels like a breeze  Just plan on putting your life on hold the semester you take his class,0,0
Science,08/28/2006,Sorta interested,Good man not a good teacher I wouldnt take him He will tell you one thing and do another but I dont think he does it on purpose,0,0
Anthropology,06/09/2012,Sorta interested,One of the worst teachers ive ever had in my 4 years at OSU Doesnt teach the class responds with negative attitude in her emails yells at class to be on time when she is frequently late andor doesnt come yells at class to not surf the internet in class even though her own TA surfs the web and emails nonstop How is she a prof at OSU,0,0
